D1,44.05,-22.86,180.00,SS24F,SODFL4626X110N
D2,44.05,-27.94,0.00,SS24F,SODFL4626X110N
D3,44.05,-33.02,0.00,SS24F,SODFL4626X110N
D4,44.05,-38.10,0.00,SS24F,SODFL4626X110N
D5,0.00,-22.86,0.00,SS24F,SODFL4626X110N
D6,0.00,-27.94,0.00,SS24F,SODFL4626X110N
D7,0.22,-33.02,180.00,SS24F,SODFL4626X110N
D8,0.00,-38.10,0.00,SS24F,SODFL4626X110N
IC1,26.67,-31.75,0.00,IRF7307,SOIC127P600X175-8N
IC2,16.51,-31.75,0.00,IRF7307,SOIC127P600X175-8N
R1,34.29,-20.32,0.00,100,RESC1608X55N
R2,34.29,-22.86,0.00,1000,RESC1608X55N
R3,34.29,-25.40,0.00,100,RESC1608X55N
R4,34.29,-27.94,0.00,470,RESC1608X55N
R5,8.89,-20.32,0.00,100,RESC1608X55N
R6,8.89,-22.86,0.00,1000,RESC1608X55N
R7,8.89,-30.48,0.00,100,RESC1608X55N
R8,8.89,-27.94,0.00,470,RESC1608X55N
RL1,26.67,-21.59,90.00,G6K-2F-Y-DC12,F
RL2,16.51,-21.59,90.00,G6K-2F-Y-DC12,F
S1.1,30.48,-38.10,90.00,,"SMD2,54-5,08"
S1.2,21.74,-49.53,90.00,,"SMD2,54-5,08"
S2.1,13.72,-38.10,90.00,,"SMD2,54-5,08"
S2.2,21.59,-44.45,90.00,,"SMD2,54-5,08"
V1.1,44.17,-16.36,90.00,,"SMD2,54-5,08"
V1.2,21.59,-11.43,90.00,,"SMD2,54-5,08"
V2.1,0.15,-16.51,90.00,,"SMD2,54-5,08"
V2.2,21.59,-6.35,90.00,,"SMD2,54-5,08"
